"Path Name",Description,"Step No","Step Title","XP Reward",Skills
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",1,"Computer Fundamentals",50,"Linux, Communication"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",2,"Networking Fundamentals",75,Networking
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",3,"Linux Fundamentals",75,Linux
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",4,"Cybersecurity Fundamentals",100,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",5,"Operating System Security",100,"Linux, Cybersecurity"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",6,"Networking Security",100,"Networking, Cybersecurity"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",7,"Command Line & Shell Basics",75,Linux
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",8,"Python for Cybersecurity",100,"Python, Cybersecurity"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",9,"Cryptography Fundamentals",100,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",10,"Identity & Access Management",100,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",11,"Web Security Fundamentals",100,"Cybersecurity, HTML"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",12,"Authentication & Authorization Security",100,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",13,"Input Validation & Common Web Vulnerabilities",125,"Cybersecurity, JavaScript"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",14,"Security Monitoring & Logging",100,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",15,"Vulnerability Assessment",125,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",16,"Security Testing & Practical Labs",150,"Cybersecurity, Python"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",17,"Incident Response Fundamentals",125,"Cybersecurity, Communication"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",18,"Security Operations & SIEM Basics",150,Cybersecurity
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",19,"Cybersecurity Projects & Portfolio",200,"Cybersecurity, Git"
Cybersecurity,"Build foundational and practical skills for a career in cybersecurity",20,"Career Preparation & Job Readiness",200,"Communication, Cybersecurity"
"Web Development","Build practical skills for a career in web development",1,"HTML Fundamentals",50,HTML
"Web Development","Build practical skills for a career in web development",2,"CSS Fundamentals",75,CSS
"Web Development","Build practical skills for a career in web development",3,"Responsive Web Design",75,"HTML, CSS"
"Web Development","Build practical skills for a career in web development",4,"JavaScript Fundamentals",100,JavaScript
"Web Development","Build practical skills for a career in web development",5,"DOM Manipulation",100,"JavaScript, HTML"
"Web Development","Build practical skills for a career in web development",6,"JavaScript Events & Forms",100,JavaScript
"Web Development","Build practical skills for a career in web development",7,"Git & GitHub Basics",100,Git
"Web Development","Build practical skills for a career in web development",8,"Frontend Development Fundamentals",125,"HTML, CSS, JavaScript"
"Web Development","Build practical skills for a career in web development",9,"React Fundamentals",125,React
"Web Development","Build practical skills for a career in web development",10,"React Components & State",125,React
"Web Development","Build practical skills for a career in web development",11,"Backend Development Fundamentals",125,"PHP, Laravel"
"Web Development","Build practical skills for a career in web development",12,"REST APIs",125,"PHP, JavaScript"
"Web Development","Build practical skills for a career in web development",13,"Database Fundamentals",100,MySQL
"Web Development","Build practical skills for a career in web development",14,"Authentication & Authorization",125,"Laravel, PHP"
"Web Development","Build practical skills for a career in web development",15,"Backend Framework Fundamentals",150,"Laravel, PHP"
"Web Development","Build practical skills for a career in web development",16,"Full-Stack Integration",150,"React, Laravel"
"Web Development","Build practical skills for a career in web development",17,"Web Security Fundamentals",125,"Cybersecurity, JavaScript"
"Web Development","Build practical skills for a career in web development",18,"Testing & Debugging",125,"Git, JavaScript"
"Web Development","Build practical skills for a career in web development",19,"Deployment & Hosting",150,"Git, Linux"
"Web Development","Build practical skills for a career in web development",20,"Full-Stack Web Development Project",200,"HTML, CSS, JavaScript, Git"
"Data Science","Build practical skills for a career in data science",1,"Python Fundamentals",50,Python
"Data Science","Build practical skills for a career in data science",2,"NumPy Fundamentals",75,Python
"Data Science","Build practical skills for a career in data science",3,"Pandas Fundamentals",100,Python
"Data Science","Build practical skills for a career in data science",4,"Data Cleaning & Preprocessing",100,Python
"Data Science","Build practical skills for a career in data science",5,"Exploratory Data Analysis",100,Python
"Data Science","Build practical skills for a career in data science",6,"Data Visualization",100,Python
"Data Science","Build practical skills for a career in data science",7,"Statistics Fundamentals",125,Python
"Data Science","Build practical skills for a career in data science",8,"Probability Fundamentals",125,Python
"Data Science","Build practical skills for a career in data science",9,"SQL Fundamentals",100,"SQL, MySQL"
"Data Science","Build practical skills for a career in data science",10,"Feature Engineering",125,Python
"Data Science","Build practical skills for a career in data science",11,"Machine Learning Fundamentals",150,Python
"Data Science","Build practical skills for a career in data science",12,"Supervised Learning",150,Python
"Data Science","Build practical skills for a career in data science",13,"Unsupervised Learning",150,Python
"Data Science","Build practical skills for a career in data science",14,"Model Evaluation",125,Python
"Data Science","Build practical skills for a career in data science",15,"Scikit-learn Fundamentals",125,Python
"Data Science","Build practical skills for a career in data science",16,"Deep Learning Fundamentals",175,Python
"Data Science","Build practical skills for a career in data science",17,"Natural Language Processing",150,Python
"Data Science","Build practical skills for a career in data science",18,"Data Science Projects",150,"Python, Git"
"Data Science","Build practical skills for a career in data science",19,"Model Deployment",175,"Python, Git"
"Data Science","Build practical skills for a career in data science",20,"Data Science Portfolio Project",200,"Python, Git, Communication"
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",1,"Python for AI",50,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",2,"NumPy & Pandas",75,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",3,"Mathematics for Machine Learning",100,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",4,"Statistics & Probability",100,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",5,"Data Preprocessing",100,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",6,"Exploratory Data Analysis",100,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",7,"Supervised Learning",125,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",8,"Unsupervised Learning",125,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",9,"Feature Engineering",125,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",10,"Model Evaluation",125,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",11,Scikit-learn,125,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",12,"Neural Networks",150,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",13,"Deep Learning",150,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",14,"Computer Vision",150,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",15,"Natural Language Processing",150,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",16,"Generative AI Fundamentals",175,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",17,"LLM Fundamentals",175,Python
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",18,"Model Deployment",175,"Python, Git"
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",19,"AI Project",200,"Python, Git"
"AI & Machine Learning","Build practical skills for a career in artificial intelligence and machine learning",20,"AI Portfolio Project",250,"Python, Git, Communication"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",1,"Linux Fundamentals",50,Linux
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",2,"Networking Fundamentals",75,Networking
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",3,"Git & GitHub",75,Git
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",4,"Shell Scripting",100,Linux
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",5,"Cloud Computing Fundamentals",100,Linux
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",6,"AWS / Cloud Platform Fundamentals",125,Linux
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",7,"Virtual Machines & Containers",125,"Docker, Linux"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",8,"Docker Fundamentals",150,Docker
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",9,"CI/CD Fundamentals",150,"Git, Docker"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",10,"Infrastructure as Code",150,"Linux, Git"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",11,"Cloud Networking & Security",150,"Networking, Cybersecurity"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",12,"Cloud Storage & Databases",125,MySQL
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",13,"Kubernetes Fundamentals",175,"Docker, Linux"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",14,"Monitoring & Logging",150,Linux
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",15,"DevOps Automation",175,"Linux, Git, Docker"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",16,"Deployment Strategies",150,"Docker, Git"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",17,"Cloud Cost & Resource Management",125,Communication
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",18,"DevOps Security",150,"Cybersecurity, Docker"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",19,"Cloud / DevOps Project",200,"Linux, Git, Docker"
"Cloud & DevOps","Build practical skills for cloud infrastructure, automation and DevOps",20,"Cloud Deployment Portfolio Project",250,"Linux, Git, Docker, Communication"
"Mobile Development","Build practical skills for a career in mobile application development",1,"Programming Fundamentals",50,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",2,"Object-Oriented Programming",75,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",3,"Mobile App Development Fundamentals",75,"JavaScript, UI/UX Design"
"Mobile Development","Build practical skills for a career in mobile application development",4,"User Interface Design for Mobile",100,"UI/UX Design"
"Mobile Development","Build practical skills for a career in mobile application development",5,"Mobile Layouts & Navigation",100,"UI/UX Design, JavaScript"
